date	AAPL	AMZN	GOOG	META	SPY	TSLA
2023-10-31	169.113525390625	133.08999633789062	124.55960083007812	299.6262512207031	408.7944030761719	200.83999633789062
2023-11-30	188.35531616210938	146.08999633789062	133.128662109375	325.36505126953125	446.13519287109375	240.0800018310547
2023-12-31	190.91366577148438	151.94000244140625	140.0972442626953	352.0287170410156	466.503662109375	248.47999572753906
2024-01-31	182.85189819335938	155.1999969482422	140.96209716796875	388.0113525390625	473.93341064453125	187.2899932861328
2024-02-29	179.46127319335938	176.75999450683594	138.9540252685547	487.9729919433594	498.66650390625	201.8800048828125
2024-03-31	170.25733947753906	180.3800048828125	151.3602752685547	483.4429931640625	514.9738159179688	175.7899932861328
2024-04-30	169.1155548095703	175.0	163.66712951660156	428.2768859863281	494.2103271484375	183.27999877929688
2024-05-31	191.13815307617188	176.44000244140625	172.93206787109375	464.7755432128906	519.2073974609375	178.0800018310547
2024-06-30	209.40191650390625	193.25	182.54364013671875	502.4993896484375	537.5250244140625	197.8800048828125
2024-07-31	220.795654296875	186.97999572753906	172.32272338867188	473.20965576171875	544.0339965820312	232.07000732421875
2024-08-31	227.9391632080078	178.5	164.32113647460938	519.5310668945312	556.74560546875	214.11000061035156
2024-09-30	231.920654296875	186.3300018310547	166.6102294921875	571.0308227539062	568.4398803710938	261.6300048828125
2024-10-31	224.8634796142578	186.39999389648438	172.09117126464844	566.1828002929688	563.367431640625	249.85000610351562
2024-11-30	236.49049377441406	207.88999938964844	169.89878845214844	572.90625	596.9629516601562	345.1600036621094
2024-12-31	249.5341796875	219.38999938964844	189.99490356445312	584.539794921875	582.5999145507812	403.8399963378906
2025-01-31	235.16519165039062	237.67999267578125	205.11949157714844	688.0379638671875	598.2463989257812	404.6000061035156
2025-02-28	241.24948120117188	212.27999877929688	171.81748962402344	667.0927734375	590.6517944335938	292.9800109863281
2025-03-31	221.58761596679688	190.25999450683594	156.0424346923828	575.9168701171875	557.7411499023438	259.1600036621094
2025-04-30	211.9811248779297	184.4199981689453	160.69683837890625	548.577880859375	552.9054565429688	282.1600036621094
2025-05-31	200.622314453125	205.00999450683594	172.64248657226562	646.9921875	587.6527709960938	346.4599914550781
2025-06-30	204.93740844726562	219.38999938964844	177.38999938964844	738.0900268554688	617.8499755859375	317.6600036621094
2025-07-31	207.33470153808594	234.11000061035156	192.86000061035156	773.4400024414062	632.0800170898438	308.2699890136719
2025-08-31	232.13999938964844	229.0	213.52999877929688	738.7000122070312	645.0499877929688	333.8699951171875
2025-09-30	239.69000244140625	232.3300018310547	235.1699981689453	752.4500122070312	647.239990234375	350.8399963378906
