curr_state	curr_action	next_reward	next_state
1924	1	0	1797
1797	1	0	1670
1670	0	0	1670
1670	1	0	1671
1671	-1	0	1798
1798	1	0	1799
1799	0	0	1927
1927	1	0	1920
1920	1	0	1921
1921	1	0	1930
1930	-1	0	1937
1937	0	0	1945
1945	0	0	1953
1953	-1	0	1960
1960	1	0	1961
1961	0	0	1969
1969	0	0	1977
1977	-1	0	1984
1984	-1	0	1991
1991	0	0	1983
1983	1	0	1968
1968	-1	0	1975
1975	0	0	1967
1967	-1	0	1958
1958	-1	0	1949
1949	1	0	1814
1814	1	0	1807
1807	0	0	1927
1927	1	0	1920
1920	1	0	1921
1921	1	0	1930
1930	-1	0	1937
