index	u_check
0	1.6723
1	-1.152095
2	-1.235182
3	-0.288503
4	0.369202
5	0.430599
6	0.188644
7	-0.024803
8	-0.089025
9	-0.052384
10	-0.000781
11	0.02155
12	0.01662
13	0.003706
14	-0.003907
15	-0.00432
16	-0.001561
17	0.000624
18	0.001102
19	0.000563
20	-3.1e-05
21	-0.00025
22	-0.000171
23	-2.4e-05
24	5.2e-05
25	4.8e-05
26	1.4e-05
27	-9e-06
28	-1.2e-05
29	-5e-06
30	1e-06
31	3e-06
32	2e-06
33	0
34	-1e-06
35	-1e-06
36	-0
37	0
38	0
39	0
40	-0
41	-0
42	-0
43	0
44	0
45	0
46	0
47	-0
48	-0
49	-0
50	0
51	0
52	0
53	-0
54	-0
55	-0
56	-0
57	0
58	0
59	0
60	-0
61	-0
62	-0
63	0
64	0
65	0
66	-0
67	-0
68	-0
69	-0
70	0
71	0
72	0
73	-0
74	-0
75	-0
76	0
77	0
78	0
79	0
80	-0
81	-0
82	-0
83	0
84	0
85	0
86	-0
87	-0
88	-0
89	0
90	0
91	0
92	0
93	-0
94	-0
95	-0
96	0
97	0
98	0
99	-0
