recipe_slug	score_bound	reward
apple-crumble	7.483314773547883	0.5
ma-la-chicken	7.2259221116059615	0.5
quesadillas	7.21569015113308	0.5
ramen	7.205736459743493	0.5
pain-au-chocolat	6.948626060849789	1.0
chocolate-babka	6.998701032157886	1.0
spamburger	7.010668329361449	0.0
bacon-fried-rice	6.981255998765643	0.0
nacho-fries	6.732808679728174	0.5
cranberry-sauce	6.672024763709963	0.5
guacamole	6.527232805712162	0.5
strawberry-rhubarb-crisp	6.451624582640247	0.5
asparagus-quiche	6.42385834820087	0.25
apple-pie	6.313147716171362	0.5
bacon-wrapped-asparagus	6.250282541865163	0.75
cold-noodles-with-tomatoes	6.204690082933241	0.5
asparagus-burger	6.201069534514268	0.5
brioche-bread	6.14147508430739	0.5
tamales	6.126784154004332	0.5
dan-dan-noodles	6.104032541027302	0.5
apple-crisp	5.979302035316045	0.0
taco-salad	5.963434392254282	0.5
mushroom-quiche	5.884203648064574	0.25
chicken-nuggets	5.854097139453107	0.5
croissants	5.778883285841028	0.5
fajitas	5.691436037934007	0.5
bacon-wrapped-chicken	5.681867584957979	0.75
bacon-mac-and-cheese	5.629163898321504	0.75
spam-musubi	5.608650550367381	0.0
bacon-wrapped-shrimp-skewers	5.591492225658349	0.75
tacos	5.551870151220019	0.5
chocolate-peanut-butter-cake	5.513145854172217	0.75
croissant-aux-amandes	5.47780464290254	0.5
nacho-salad	5.390565419724798	0.5
sujebi	5.3763693979128835	0.0
breakfast-burritos	5.360054507841872	0.75
quiche-lorraine	5.23401614502987	0.75
souffle	5.208370056220323	0.5
danishes	5.196878197541337	0.5
nachos	5.181074229004544	0.5
spinach-and-ricotta-lasagna	5.169931323663154	1.0
soba-noodle-salad-with-peanut-dressing	5.132309861062776	0.5
cranberry-apple-crisp	5.130714640064452	0.0
brownies	5.115645942235123	1.0
cherry-pie	5.091350394390578	0.5
enchiladas	5.055676942698632	0.5
vanilla-souffle	5.0423944311119016	0.5
loaded-nachos	4.987461404863036	0.5
brioche-bread-with-chocolate	4.931794120676663	0.5
spinach-quiche	4.899056017957867	0.25
ma-la-beef	4.830961803390643	0.5
bacon-wrapped-scallops	4.786653614076308	0.75
pickled-green-beans	4.74880241266952	0.25
bacon-egg-muffins	4.735166453015281	0.75
classic-beef-lasagna	4.727014342167712	1.0
falafel	4.719667549597034	0.0
maple-bacon-donuts	4.694988521494898	0.75
peanut-butter-cupcakes	4.683867233406737	0.5
chicken-alfredo-lasagna	4.671356760048383	0.5
cold-sesame-noodles	4.614592464944006	0.5
bacon-and-egg-breakfast-sandwich	4.603470986161577	0.75
peach-crisp	4.581913836575618	0.5
tempura-udon	4.577982894861595	0.5
chiles-rellenos	4.5772374829139535	0.5
chicken-fingers	4.57402778615023	0.0
cranberry-relish	4.523239443007779	0.25
burritos	4.483884380148416	0.5
bacon-chocolate-chip-cookies	4.435043551731043	0.0
almond-croissants	4.481759677527562	0.5
cold-soba-noodles-with-tomato-and-cucumber	4.4231099643999405	0.5
bolognese-sauce	4.393219702923985	0.5
maple-bacon-pancakes	4.338858650183023	0.75
pico-de-gallo	4.308238304691219	0.5
fried-oysters	4.302333590424967	0.5
spinach-and-feta-quiche	4.284512930231837	0.25
bacon-wrapped-dates	4.2798239186745315	0.75
nacho-casserole	4.2121821862117095	0.5
udon	4.203691742363783	0.5
peach-cobbler	4.120160018974976	0.5
french-toast	4.107687439613107	0.5
lasagna	4.071502830680146	0.5
nacho-dip	4.020586289570389	0.5
pickled-asparagus	3.96718441929253	0.5
berry-crisp	3.9115637468714586	0.5
pasta-primavera	3.8941987368780926	0.0
almond-chip-cookies	3.7929282713476913	0.5
chocolate-cake	3.75526567734818	1.0
blueberry-crumble	3.732207300019258	0.5
chocolate-croissants	3.6950424973331586	1.0
peanut-butter-brownies	3.5472085698048685	1.0
cherry-cobbler	3.5362977705740835	0.5
vegetarian-mushroom-lasagna	3.454098570972937	1.0
blueberry-crisp	3.260255850340013	0.5
cinnamon-babka	3.2216498596208716	0.5
spinach-and-ricotta-stuffed-shells	3.2151732700382087	0.5
chocolate-souffle	3.202463517788137	1.0
butter-croissants	3.0452551089211917	0.5
bacon-souffle	3.0015438043739286	0.75
berry-crumble	2.8361751823567323	0.5
vegetable-lasagna	2.6742039099531723	0.5
